,ContrastType,effect,p_value,stat,z_score,Source,Detector,Chroma,Significant,ch_name,Condition
38,t,-1.0147788237482728e-05,0.6255614376209386,-0.32030305741247406,-0.3201203168939586,8,6,hbr,False,S8_D6 hbr,Inflammatory
39,t,-7.759378660421173e-06,0.7406529659884982,-0.6458332328406382,-0.6453597694163772,8,7,hbr,False,S8_D7 hbr,Inflammatory
40,t,-0.00017881925489064135,0.844039294484192,-1.012423219252844,-1.011198547143988,1,1,hbo,False,S1_D1 hbo,Inflammatory
41,t,-0.00021999143407442544,0.8765975682329653,-1.1597690739198796,-1.1581450126018549,1,2,hbo,False,S1_D2 hbo,Inflammatory
42,t,-0.00021193990061829936,0.898862082444346,-1.2771001307927512,-1.2750943891272715,2,1,hbo,False,S2_D1 hbo,Inflammatory
43,t,-0.00025148525941182874,0.8892133617105172,-1.224181536047614,-1.2223553495146628,2,3,hbo,False,S2_D3 hbo,Inflammatory
44,t,-0.0001360581415636023,0.8498999849977392,-1.0372907923079644,-1.0360045281772015,3,2,hbo,False,S3_D2 hbo,Inflammatory
45,t,-0.0001988516266596288,0.8450189945527637,-1.016536453165985,-1.0153017491221639,3,3,hbo,False,S3_D3 hbo,Inflammatory
46,t,-0.00017096026855075046,0.8578499586681614,-1.0720857708269833,-1.0707094715851604,3,4,hbo,False,S3_D4 hbo,Inflammatory
47,t,-0.00027102924202245096,0.8727398417756255,-1.1410069279270214,-1.1394384740912558,4,2,hbo,False,S4_D2 hbo,Inflammatory
48,t,-0.00014522751580781296,0.8541928098263968,-1.0559206228402815,-1.0545867192979013,4,4,hbo,False,S4_D4 hbo,Inflammatory
49,t,-0.00021323795106976663,0.8392868065526989,-0.9927083841830209,-0.9915309508056847,4,5,hbo,False,S4_D5 hbo,Inflammatory
50,t,-0.00019150633085505695,0.8528040754022101,-1.0498539780329663,-1.0485357303400018,5,3,hbo,False,S5_D3 hbo,Inflammatory
51,t,-1.991544224725025e-05,0.6446138272496031,-0.3710713994562778,-0.37081900438937127,5,4,hbo,False,S5_D4 hbo,Inflammatory
52,t,-6.712435956083425e-05,0.821197489931084,-0.9209552020686341,-0.9199382669645441,5,6,hbo,False,S5_D6 hbo,Inflammatory
